DOLocationID,PULocationID,RatecodeID,VendorID,congestion_surcharge,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance,tpep_pickup_datetime_IST,tpep_dropoff_datetime_IST,TravelTime
114,148,1,1,2.5,3.0,5.0,0.3,0.5,1,2,N,0.0,0.0,8.8,2021-01-01 00:35:28,2021-01-01 00:32:00,.90,2021-01-01 13:02:00,2021-01-01 13:05:28,208
107,164,1,2,2.5,0.5,6.0,0.3,0.5,2,2,N,0.0,0.0,9.8,2021-01-01 00:56:00,2021-01-01 00:50:21,1.04,2021-01-01 13:20:21,2021-01-01 13:26:00,339
236,261,1,2,2.5,0.5,21.5,0.3,0.5,2,2,N,0.0,0.0,25.3,2021-01-01 00:21:17,2021-01-01 00:05:55,7.01,2021-01-01 12:35:55,2021-01-01 12:51:17,922
107,237,1,2,2.5,0.5,9.5,0.3,0.5,2,1,N,2.66,0.0,15.96,2021-01-01 00:42:50,2021-01-01 00:33:33,2.4,2021-01-01 13:03:33,2021-01-01 13:12:50,557
202,262,1,1,2.5,3.0,14.5,0.3,0.5,1,2,N,0.0,0.0,18.3,2021-01-01 00:51:20,2021-01-01 00:37:21,4.2,2021-01-01 13:07:21,2021-01-01 13:21:20,839
24,237,1,1,2.5,3.0,14.5,0.3,0.5,2,1,Y,3.66,0.0,21.96,2021-01-01 01:10:32,2021-01-01 00:53:16,3.3,2021-01-01 13:23:16,2021-01-01 13:40:32,1036
18,100,1,1,2.5,3.0,37.0,0.3,0.5,1,2,N,0.0,0.0,40.8,2021-01-01 01:27:41,2021-01-01 00:56:04,"",2021-01-01 13:26:04,2021-01-01 13:57:41,1897
141,263,1,1,2.5,3.0,4.0,0.3,0.5,1,1,N,2.0,0.0,9.8,2021-01-01 00:41:19,2021-01-01 00:39:50,.60,2021-01-01 13:09:50,2021-01-01 13:11:19,89
137,231,1,2,2.5,0.5,14.5,0.3,0.5,2,2,N,0.0,0.0,18.3,2021-01-01 01:05:49,2021-01-01 00:53:51,4.26,2021-01-01 13:23:51,2021-01-01 13:35:49,718
141,230,1,1,2.5,3.0,12.0,0.3,0.5,1,1,Y,3.15,0.0,18.95,2021-01-01 00:34:51,2021-01-01 00:21:46,2.9,2021-01-01 12:51:46,2021-01-01 13:04:51,785
232,148,1,2,2.5,0.5,4.5,0.3,0.5,1,1,N,1.66,0.0,9.96,2021-01-01 00:12:22,2021-01-01 00:07:45,.54,2021-01-01 12:37:45,2021-01-01 12:42:22,277
41,48,1,2,2.5,0.5,20.0,0.3,0.5,1,2,N,0.0,0.0,23.8,2021-01-01 00:23:23,2021-01-01 00:06:25,6.17,2021-01-01 12:36:25,2021-01-01 12:53:23,1018
262,237,1,2,2.5,0.5,6.0,0.3,0.5,2,1,N,1.96,0.0,11.76,2021-01-01 00:22:15,2021-01-01 00:17:33,1.24,2021-01-01 12:47:33,2021-01-01 12:52:15,282
170,161,1,1,2.5,3.0,7.0,0.3,0.5,3,1,N,0.0,0.0,10.8,2021-01-01 00:22:57,2021-01-01 00:14:02,.80,2021-01-01 12:44:02,2021-01-01 12:52:57,535
263,263,1,1,2.5,3.0,4.5,0.3,0.5,1,2,N,0.0,0.0,8.3,2021-01-01 00:57:15,2021-01-01 00:53:26,.50,2021-01-01 13:23:26,2021-01-01 13:27:15,229
