DOLocationID,PULocationID,RatecodeID,VendorID,congestion_surcharge,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance,tpep_pickup_datetime_IST,tpep_dropoff_datetime_IST,TravelTime
168,170,1,1,2.5,3.0,17.5,0.3,0.5,1,2,N,0.0,0.0,21.3,2021-01-01 01:03:50,2021-01-01 00:52:30,5.6,2021-01-01 13:22:30,2021-01-01 13:33:50,680
239,170,1,2,2.5,0.5,13.0,0.3,0.5,1,1,N,3.36,0.0,20.16,2021-01-01 01:01:40,2021-01-01 00:48:39,3.67,2021-01-01 13:18:39,2021-01-01 13:31:40,781
226,48,1,2,2.5,0.5,15.5,0.3,0.5,1,2,N,0.0,0.0,19.3,2021-01-01 00:24:58,2021-01-01 00:08:03,4.11,2021-01-01 12:38:03,2021-01-01 12:54:58,1015
107,233,1,2,2.5,0.5,5.5,0.3,0.5,2,1,N,1.4,0.0,10.7,2021-01-01 00:42:31,2021-01-01 00:38:26,1.38,2021-01-01 13:08:26,2021-01-01 13:12:31,245
237,229,1,2,2.5,0.5,7.0,0.3,0.5,1,1,N,2.16,0.0,12.96,2021-01-01 00:43:31,2021-01-01 00:36:34,1.29,2021-01-01 13:06:34,2021-01-01 13:13:31,417
3,132,1,1,0.0,0.5,52.0,0.3,0.5,2,2,N,0.0,6.12,59.42,2021-01-01 01:04:46,2021-01-01 00:37:40,19.1,2021-01-01 13:07:40,2021-01-01 13:34:46,1626
4,161,1,2,2.5,0.5,13.0,0.3,0.5,1,2,N,0.0,0.0,16.8,2021-01-01 00:25:21,2021-01-01 00:11:22,3.36,2021-01-01 12:41:22,2021-01-01 12:55:21,839
165,132,1,1,0.0,0.5,42.0,0.3,0.5,1,1,N,8.65,0.0,51.95,2021-01-01 01:11:06,2021-01-01 00:43:30,14.7,2021-01-01 13:13:30,2021-01-01 13:41:06,1656
145,75,1,1,2.5,3.0,12.0,0.3,0.5,1,2,N,0.0,0.0,15.8,2021-01-01 00:15:51,2021-01-01 00:07:34,3.8,2021-01-01 12:37:34,2021-01-01 12:45:51,497
169,169,1,1,0.0,0.0,0.0,0.0,0.0,1,3,N,0.0,0.0,0.0,2021-01-01 00:03:19,2021-01-01 00:03:13,.00,2021-01-01 12:33:13,2021-01-01 12:33:19,6
90,90,1,2,2.5,0.5,4.5,0.3,0.5,2,1,N,2.0,0.0,10.3,2021-01-01 00:44:39,2021-01-01 00:40:48,.77,2021-01-01 13:10:48,2021-01-01 13:14:39,231
