DOLocationID,PULocationID,RatecodeID,VendorID,congestion_surcharge,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance,tpep_pickup_datetime_IST,tpep_dropoff_datetime_IST,TravelTime
48,113,1,2,2.5,0.5,9.5,0.3,0.5,1,1,N,2.66,0.0,15.96,2021-01-01 00:42:48,2021-01-01 00:31:36,2.18,2021-01-01 13:01:36,2021-01-01 13:12:48,672
87,186,1,2,2.5,0.5,12.0,0.3,0.5,2,1,N,10.08,0.0,25.88,2021-01-01 01:05:19,2021-01-01 00:54:10,3.45,2021-01-01 13:24:10,2021-01-01 13:35:19,669
211,158,1,1,2.5,3.0,7.0,0.3,0.5,1,2,Y,0.0,0.0,10.8,2021-01-01 00:37:10,2021-01-01 00:29:44,1.3,2021-01-01 12:59:44,2021-01-01 13:07:10,446
231,264,1,2,2.5,0.5,32.5,0.3,0.5,3,1,N,4.0,0.0,40.3,2021-01-01 00:43:03,2021-01-01 00:19:57,10.74,2021-01-01 12:49:57,2021-01-01 13:13:03,1386
75,237,1,2,2.5,0.5,9.0,0.3,0.5,1,2,N,0.0,0.0,12.8,2021-01-01 00:20:55,2021-01-01 00:13:16,2.54,2021-01-01 12:43:16,2021-01-01 12:50:55,459
264,75,1,2,2.5,0.5,24.5,0.3,0.5,1,1,N,5.66,0.0,33.96,2021-01-01 00:23:40,2021-01-01 00:06:11,8.06,2021-01-01 12:36:11,2021-01-01 12:53:40,1049
231,186,1,2,2.5,0.5,10.0,0.3,0.5,1,1,N,2.76,0.0,16.56,2021-01-01 00:56:55,2021-01-01 00:47:59,2.87,2021-01-01 13:17:59,2021-01-01 13:26:55,536
237,249,1,2,2.5,0.5,14.0,0.3,0.5,2,1,N,3.56,0.0,21.36,2021-01-01 01:01:55,2021-01-01 00:47:57,4.17,2021-01-01 13:17:57,2021-01-01 13:31:55,838
48,142,1,2,2.5,0.5,5.0,0.3,0.5,1,2,N,0.0,0.0,8.8,2021-01-01 01:01:27,2021-01-01 00:57:26,.89,2021-01-01 13:27:26,2021-01-01 13:31:27,241
166,151,1,2,0.0,0.5,4.0,0.3,0.5,2,2,N,0.0,0.0,5.3,2021-01-01 01:00:51,2021-01-01 00:57:57,.60,2021-01-01 13:27:57,2021-01-01 13:30:51,174
238,263,1,2,2.5,0.5,8.0,0.3,0.5,2,2,N,0.0,0.0,11.8,2021-01-01 00:32:48,2021-01-01 00:25:33,1.96,2021-01-01 12:55:33,2021-01-01 13:02:48,435
233,186,1,1,2.5,3.0,8.0,0.3,0.5,1,2,N,0.0,0.0,11.8,2021-01-01 00:56:03,2021-01-01 00:47:09,1.6,2021-01-01 13:17:09,2021-01-01 13:26:03,534
48,239,1,1,2.5,3.0,6.0,0.3,0.5,1,2,N,0.0,0.0,9.8,2021-01-01 00:12:55,2021-01-01 00:08:06,1.2,2021-01-01 12:38:06,2021-01-01 12:42:55,289
48,116,1,2,2.5,0.5,"",0.3,0.5,3,2,N,0.0,0.0,24.8,2021-01-01 01:01:29,2021-01-01 00:43:40,6.29,2021-01-01 13:13:40,2021-01-01 13:31:29,1069
48,79,1,2,2.5,0.5,12.0,0.3,0.5,1,2,N,0.0,0.0,15.8,2021-01-01 01:08:10,2021-01-01 00:53:03,2.59,2021-01-01 13:23:03,2021-01-01 13:38:10,907
227,114,1,2,2.5,0.5,24.5,0.3,0.5,1,1,N,4.0,0.0,32.3,2021-01-01 01:12:48,2021-01-01 00:53:34,8.22,2021-01-01 13:23:34,2021-01-01 13:42:48,1154
262,161,1,1,2.5,3.0,8.5,0.3,0.5,1,1,N,2.0,0.0,14.3,2021-01-01 00:30:57,2021-01-01 00:23:50,2.2,2021-01-01 12:53:50,2021-01-01 13:00:57,427
141,163,1,1,2.5,3.0,6.5,0.3,0.5,1,2,N,0.0,0.0,10.3,2021-01-01 01:04:16,2021-01-01 00:58:49,1.3,2021-01-01 13:28:49,2021-01-01 13:34:16,327
